id,activity_time
"39285","19"
"39297","247333"
"39440","1410211"
"39520","114"
"39524","834397"
"39530","511"
"39540","249080"
"39547","87"
"39555","845"
"39585","292"
"39662","22595"
"39692","41"
"39696","1463012"
"39711","2436170"
"39729","2916222"
"39762","41"
"39775","264828"
"39801","1287"
"39833","3641315"
"39857","897495"
"39882","246"
"39892","1533218"
"39893","37674"
"39913","18"
"39925","311183"
"39930","2238537"
"39933","1818"
"39990","3103809"
"40023","190447"
"40085","146"
"40127","777"
"40154","215"
"40182","38"
"40185","41"
"40227","60"
"40255","756"
"40274","539990"
"40289","1041172"
"40291","1480045"
"40298","27"
"40336","51"
"40392","496"
"40395","1269"
"40396","2975"
"40416","1856"
"40482","80"
"40534","2765890"
"40562","52"
"40594","2561203"
"40616","13"
"40655","26"
"40720","174"
"40808","54"
"40849","1685"
"40861","1317"
"40869","111583"
"40992","32"
"40995","44"
"41010","2382869"
"41058","540"
"41122","624208"
"41139","947"
"41160","23224"
"41230","1311405"
"41239","7229"
"41333","1190"
"41343","236"
"41350","2763085"
"41364","515"
"41393","47"
"41459","359"
"41478","1440"
"41502","5329"
"41539","792637"
"41605","1451"
"41685","218553"
"41688","4421"
"41708","75227"
"41716","1007"
"41783","246202"
"41810","1011503"
"41905","12647"
"41913","670259"
"41918","651"
"41943","68"
"41966","1171940"
"41988","2191440"
"42014","754"
"42020","664351"
"42035","1377"
"42071","92"
"42091","38"
"42092","575105"
"42093","893"
"42101","46046"
"42103","5430"
"42168","305"
"42171","119"
"42191","1264"
"42209","3009224"
"42229","168"
"42278","2397776"
"42289","3277279"
"42314","2622367"
"42334","2805804"
"42369","296203"
"42383","133"
"42397","205"
"42406","289524"
"42417","1494"
"42455","1173"
"42462","1645914"
"42466","3302895"
"42469","1526"
"42476","1583916"
"42500","2039734"
"42509","191"
"42601","18910"
"42618","1570701"
"42621","43"
"42626","2821580"
"42629","148"
"42663","44578"
"42782","1436"
"42801","3020140"
"42802","33"
"42897","604"
"42912","130"
"43008","2440412"
"43063","36"
"43083","63"
"43255","718"
"43284","1704427"
"43287","2005528"
"43294","3341797"
"43370","531"
"43373","2837627"
"43411","79"
"43450","610"
"43454","34"
"43503","2394847"
"43522","3003671"
"43529","1254175"
"43537","1486"
"43539","16"
"43546","680089"
"43574","2778122"
"43615","2672030"
"43649","55"
"43658","44"
"43669","1641736"
"43692","614"
"43707","42"
"43737","244227"
"43740","2048630"
"43750","6432"
"43780","503215"
"43791","3402959"
"43794","1197769"
"43807","639"
"43837","1100"
"43856","3963"
"43921","463"
"43926","1173050"
"44018","1304"
"44033","626"
"44043","14"
"44131","1328"
"44149","367"
"44151","3268008"
"44181","84123"
"44186","234"
"44190","872911"
"44210","1143037"
"44214","989752"
"44247","464"
"44275","2194"
"44315","403"
"44335","313739"
"44337","39"
"44345","1945494"
"44382","43806"
"44419","513"
"44489","1658928"
"44532","553"
"44543","299"
"44596","202"
"44620","923"
"44644","131"
"44668","1206199"
"44705","545"
"44716","3390080"
"44801","320"
"44843","7362"
"44849","928925"
"44881","490"
"44980","1625038"
"44987","176594"
"44997","246"
"45049","88"
"45074","696247"
"45093","408831"
"45097","38"
"45156","570733"
"45184","827"
"45254","70"
"45311","55"
"45326","44279"
"45328","911"
"45375","233254"
"45380","2263229"
"45410","1680663"
"45490","1255905"
"45509","2138962"
"45527","7047"
"45552","662"
"45561","261589"
"45578","1927"
"45593","638380"
"45660","705811"
"45680","95"
"45687","1753120"
"45695","172973"
"45712","3280421"
"45723","19"
"45738","110"
"45750","5364"
"45776","2223"
"45794","159"
"45808","444"
"45831","76"
"45834","331"
"45849","227256"
"45871","931"
"45892","8338"
"45919","224"
"45928","1341826"
"45986","132"
"45999","699582"
"46003","1259"
"46004","633020"
"46020","744"
"46021","2956273"
"46070","1777610"
"46080","516514"
"46092","44291"
"46095","81"
"46099","3367122"
"46108","130277"
"46112","978"
"46124","130"
"46125","1312"
"46164","1762656"
"46199","15356"
"46212","1124856"
"46268","8"
"46289","521"
"46293","791"
"46340","25"
"46344","1294114"
"46348","2435"
"46353","1184700"
"46369","941292"
"46395","87455"
"46438","1307399"
"46477","171"
"46484","158"
"46525","23"
"46540","198"
"46563","8412"
"46583","14"
"46608","255"
"46652","186441"
"46683","2530356"
"46696","217"
"46704","29"
"46746","146344"
"46764","43458"
"46793","1218361"
"46807","2222609"
"46818","390"
"46836","1811203"
"46849","1547"
"46900","5464"
"46907","48316"
"46941","856783"
"46953","60045"
"46957","2279"
"46966","42408"
"46973","15462"
"46984","810"
"46993","73"
"46997","2096127"
"47027","2122789"
"47043","114"
"47070","1206"
"47152","1774"
"47153","12872"
"47182","186"
"47185","5750"
"47191","473442"
"47192","27"
"47198","880"
"47224","592"
"47232","2211991"
"47261","283"
"47279","13486"
"47334","383861"
"47341","212"
"47376","51"
"47400","2582685"
"47401","1002322"
"47433","318994"
"47467","2166"
"47489","2202429"
"47490","256541"
"47509","1026"
"47555","331"
"47617","1067778"
"47618","120"
"47638","583223"
"47641","1432160"
"47652","329"
"47658","23"
"47671","354"
"47692","113"
"47742","935990"
"47762","1569384"
"47789","238"
"47809","854"
"47821","4301"
"47887","43"
"47890","2262902"
"48040","1213"
"48053","1060204"
"48058","7049"
"48092","1677395"
"48110","5958"
"48117","698521"
"48139","1897920"
"48154","87309"
"48158","150"
"48187","2758710"
"48206","764"
"48226","1135"
"48249","13"
"48257","574"
"48270","1362"
"48302","60"
"48354","16"
"48378","1122695"
"48391","984"
"48396","95"
"48411","404"
"48422","591804"
"48438","87318"
"48539","1741849"
"48543","1484193"
"48580","41"
"48601","330"
"48607","376161"
"48667","16"
"48705","1476"
"48714","76"
"48735","48"
"48754","515544"
"48774","23"
"48826","437"
"48927","20232"
"48980","768"
"48988","44943"
"49016","39"
"49048","170"
"49056","1508"
"49080","311"
"49086","9277"
"49097","1489"
"49107","7721"
"49163","43"
