,userid_so,accountid,userid_sse,topic,score,postid,user_id_type,source
359,247.0,0.0,135373.0,T11,1,191692,answer_owner_id,so
360,247.0,0.0,126064.0,T11,1,191692,answer_owner_id,so
361,247.0,0.0,135638.0,T11,1,191692,answer_owner_id,so
362,247.0,0.0,5707.0,T11,1,191692,answer_owner_id,so
363,247.0,0.0,141031.0,T11,1,191692,answer_owner_id,so
364,247.0,0.0,147725.0,T11,1,191692,answer_owner_id,so
365,247.0,0.0,171722.0,T11,1,191692,answer_owner_id,so
366,247.0,0.0,18406.0,T11,1,191692,answer_owner_id,so
367,247.0,0.0,23976.0,T11,1,191692,answer_owner_id,so
368,247.0,0.0,67046.0,T11,1,191692,answer_owner_id,so
369,247.0,0.0,147134.0,T11,1,191692,answer_owner_id,so
370,247.0,0.0,12077.0,T11,1,191692,answer_owner_id,so
371,247.0,0.0,9571.0,T11,1,191692,answer_owner_id,so
372,247.0,0.0,170471.0,T11,1,191692,answer_owner_id,so
373,247.0,0.0,35502.0,T11,1,191692,answer_owner_id,so
374,247.0,0.0,27561.0,T11,1,191692,answer_owner_id,so
375,247.0,0.0,146390.0,T11,1,191692,answer_owner_id,so
376,247.0,0.0,64671.0,T11,1,191692,answer_owner_id,so
377,247.0,0.0,166861.0,T11,1,191692,answer_owner_id,so
378,247.0,0.0,125167.0,T11,1,191692,answer_owner_id,so
379,247.0,0.0,213804.0,T11,1,191692,answer_owner_id,so
380,247.0,0.0,32409.0,T11,1,191692,answer_owner_id,so
381,247.0,0.0,9061.0,T11,1,191692,answer_owner_id,so
382,247.0,0.0,43827.0,T11,1,191692,answer_owner_id,so
383,247.0,0.0,150676.0,T11,1,191692,answer_owner_id,so
384,247.0,0.0,52933.0,T11,1,191692,answer_owner_id,so
385,247.0,0.0,101315.0,T11,1,191692,answer_owner_id,so
386,247.0,0.0,65904.0,T11,1,191692,answer_owner_id,so
387,247.0,0.0,21720.0,T11,1,191692,answer_owner_id,so
388,247.0,0.0,130010.0,T11,1,191692,answer_owner_id,so
389,247.0,0.0,60396.0,T11,1,191692,answer_owner_id,so
390,247.0,0.0,222373.0,T11,1,191692,answer_owner_id,so
391,247.0,0.0,43702.0,T11,1,191692,answer_owner_id,so
392,247.0,0.0,12794.0,T11,1,191692,answer_owner_id,so
393,247.0,0.0,225476.0,T11,1,191692,answer_owner_id,so
394,247.0,0.0,165376.0,T11,1,191692,answer_owner_id,so
395,247.0,0.0,202089.0,T11,1,191692,answer_owner_id,so
396,247.0,0.0,5330.0,T11,1,191692,answer_owner_id,so
397,247.0,0.0,131521.0,T11,1,191692,answer_owner_id,so
398,247.0,0.0,24744.0,T11,1,191692,answer_owner_id,so
399,247.0,0.0,35130.0,T11,1,191692,answer_owner_id,so
400,247.0,0.0,35886.0,T11,1,191692,answer_owner_id,so
401,247.0,0.0,16145.0,T11,1,191692,answer_owner_id,so
402,247.0,0.0,220036.0,T11,1,191692,answer_owner_id,so
403,247.0,0.0,116783.0,T11,1,191692,answer_owner_id,so
404,247.0,0.0,77653.0,T11,1,191692,answer_owner_id,so
405,247.0,0.0,32378.0,T11,1,191692,answer_owner_id,so
406,247.0,0.0,40115.0,T11,1,191692,answer_owner_id,so
